Player,Position,Draft Year,Draft Age,Class,School,Height,Weight,Wingspan,Standing Reach,RSCI Ranking,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,PProd,College OBPM,College DBPM,College BPM
Chris Boucher,PF,2017,0.0,SR,Oregon,0.46875,0.020833333333333332,0.8333333333333334,0.90625,261,0.5729166666666666,0.7708333333333334,0.28125,0.3958333333333333,0.3333333333333333,0.041666666666666664,0.14583333333333334,0.9583333333333334,0.9166666666666666,0.3125,0.14583333333333334,0.4375,0.75,0.5833333333333334
Aaron Gordon,PF,2014,0.9791666666666666,FR,Arizona,0.28125,0.14583333333333334,0.20833333333333334,0.14583333333333334,3,0.020833333333333332,0.20833333333333334,0.375,0.2708333333333333,0.2604166666666667,0.875,0.5833333333333334,0.25,0.8541666666666666,0.3541666666666667,0.5208333333333334,0.25,0.875,0.4791666666666667
Naz Reid,PF,2019,0.7708333333333334,FR,Louisiana State,0.5625,0.9375,0.7291666666666666,0.8020833333333334,15,0.22916666666666666,0.1875,0.3958333333333333,0.25,0.2604166666666667,0.22916666666666666,0.2604166666666667,0.125,0.20833333333333337,0.7916666666666666,0.375,0.0625,0.020833333333333332,0.020833333333333332
Anthony Davis,PF,2012,0.9166666666666666,FR,Kentucky,0.7604166666666666,0.1875,0.9583333333333334,0.625,1,0.9166666666666666,0.8958333333333334,0.5416666666666666,0.7604166666666666,0.7916666666666666,0.375,0.8854166666666666,1.0,0.9583333333333334,0.08333333333333333,0.7916666666666666,0.9583333333333334,1.0,1.0
David Roddy,PF,2022,0.33333333333333337,JR,Colorado State,0.08333333333333333,0.9791666666666666,0.2916666666666667,0.28125,246,0.7291666666666666,0.7291666666666666,0.5,0.6458333333333334,0.6041666666666666,0.9791666666666666,0.4583333333333333,0.4583333333333333,0.375,0.625,0.6458333333333334,0.6666666666666666,0.14583333333333334,0.5
Noah Vonleh,PF,2014,0.9583333333333334,FR,Indiana,0.46875,0.7291666666666666,0.8645833333333334,0.625,10,0.5729166666666666,0.5625,0.4270833333333333,0.8645833333333334,0.8541666666666666,0.125,0.6979166666666666,0.6041666666666666,0.0,0.22916666666666666,0.10416666666666667,0.125,0.6458333333333334,0.19791666666666666
Justin Lewis,PF,2022,0.5416666666666667,FR,Marquette,0.1875,0.6458333333333334,0.7708333333333334,0.3541666666666667,98,0.0625,0.041666666666666664,0.25,0.5,0.4166666666666667,0.25,0.3333333333333333,0.22916666666666666,0.5625,0.4583333333333333,0.20833333333333334,0.09375,0.0625,0.041666666666666664
Thomas Bryant,PF,2017,0.75,SO,Indiana,0.8125,0.7708333333333334,0.9791666666666666,0.96875,22,0.8645833333333334,0.8333333333333334,0.3125,0.16666666666666666,0.1875,0.59375,0.22916666666666666,0.5520833333333334,0.0625,0.2708333333333333,0.25,0.34375,0.28125,0.22916666666666666
Derrick Williams,PF,2011,0.7083333333333333,SO,Arizona,0.22916666666666666,0.8125,0.5208333333333334,0.625,101,0.9583333333333334,0.9583333333333334,0.6041666666666666,0.5833333333333334,0.5625,0.4791666666666667,0.6979166666666666,0.08333333333333333,0.35416666666666663,0.9583333333333334,1.0,0.9791666666666666,0.34375,0.9166666666666666
Draymond Green,PF,2012,0.14583333333333337,SR,Michigan State,0.03125,0.4375,0.4583333333333333,0.14583333333333334,95,0.125,0.07291666666666667,0.08333333333333333,0.8958333333333334,0.7291666666666666,1.0,0.9375,0.2708333333333333,0.22916666666666663,0.8541666666666666,0.84375,0.6458333333333334,0.9375,0.8958333333333334
Quincy Acy,PF,2012,0.27083333333333337,SR,Baylor,0.125,0.22916666666666666,0.6458333333333334,0.4166666666666667,129,0.75,0.6041666666666666,0.4583333333333333,0.2916666666666667,0.3125,0.2916666666666667,0.5833333333333334,0.6875,0.25,0.1875,0.2916666666666667,0.17708333333333334,0.5,0.16666666666666666
Isaiah Roby,PF,2019,0.4375,JR,Nebraska,0.22916666666666666,0.08333333333333333,0.3958333333333333,0.3229166666666667,149,0.2916666666666667,0.22916666666666666,0.041666666666666664,0.14583333333333334,0.041666666666666664,0.8541666666666666,0.7708333333333334,0.7291666666666666,0.04166666666666663,0.125,0.125,0.020833333333333332,0.7291666666666666,0.14583333333333334
Jared Sullinger,PF,2012,0.6458333333333333,SO,Ohio State,0.3854166666666667,1.0,0.4583333333333333,0.22916666666666666,2,0.5,0.3958333333333333,0.75,0.7916666666666666,0.8333333333333334,0.4583333333333333,0.8333333333333334,0.20833333333333334,0.7916666666666666,0.875,0.9583333333333334,0.8333333333333334,0.6041666666666666,0.8541666666666666
Kevon Looney,PF,2015,0.8958333333333334,FR,UCLA,0.46875,0.20833333333333334,0.8020833333333334,0.8645833333333334,10,0.10416666666666667,0.14583333333333334,0.6875,0.4583333333333333,0.5,0.5208333333333334,0.8854166666666666,0.1875,0.8854166666666666,0.16666666666666666,0.3333333333333333,0.4166666666666667,0.22916666666666666,0.25
Jabari Walker,PF,2022,0.6875,SO,Colorado,0.3229166666666667,0.16666666666666666,0.14583333333333334,0.28125,332,0.5208333333333334,0.5,0.8645833333333334,0.9166666666666666,0.9375,0.14583333333333334,0.3541666666666667,0.375,0.1875,0.5625,0.1875,0.34375,0.1875,0.19791666666666666
Richaun Holmes,PF,2015,0.29166666666666663,SR,Bowling Green State,0.5625,0.6666666666666666,0.5208333333333334,0.625,187,0.65625,0.65625,0.5208333333333334,0.3125,0.375,0.2708333333333333,0.4791666666666667,0.9375,0.47916666666666663,0.3333333333333333,0.22916666666666666,0.3125,0.5416666666666666,0.2708333333333333
